주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주차면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 시간(분 단위),버스 추가 단위 요금,일 최대 요금,위도,경도
1037569,바람개비주차장(구),양천구 목동 919-8,NW,노외 주차장,1,시간제 주차장,02-2644-1386,0,미연계중,186,Y,유료,N,야간 미개방,900,1900,0,0,0,0,2020-09-02 15:46,Y,유료,Y,유료,70000,,150,5,150,5,0,0,0,0,9000,,
1037932,구로디지털단지역 공영주차장(시),구로구 구로동 810-3,NW,노외 주차장,1,시간제 주차장,02-2290-6034,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),91,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-09 10:19,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700,37.48543179,126.9012433
1040011,상계2동 공영주차장(구),노원구 상계동 373-13,NW,노외 주차장,1,시간제 주차장,02-931-2758,0,미연계중,108,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:35,N,무료,N,무료,100000,,150,5,150,5,0,0,0,0,11000,,
1040225,논현로22길(시),강남구 개포동 1266-0,NW,노외 주차장,1,시간제 주차장,02-2176-0907,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),97,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2020-07-08 18:08,N,무료,N,무료,120000,,200,5,200,5,0,0,0,0,,,
1041839,신당동 공영주차장(구),중구 신당동 300-6,NW,노외 주차장,1,시간제 주차장,02-2280-8368,2,20~120분이내 연계데이터 존재(정보수집중),76,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-07-25 10:10,N,무료,N,무료,175000,,200,5,200,5,0,0,0,0,0,,
1041840,남산동 공영주차장(구),중구 남산동2가 30-4,NW,노외 주차장,1,시간제 주차장,02-2280-8368,2,20~120분이내 연계데이터 존재(정보수집중),48,Y,유료,N,야간 미개방,0,2400,0,0,0,0,2023-07-25 10:14,Y,유료,Y,유료,240000,,250,5,250,5,0,0,0,0,0,,
1041948,충현어린이공원 공영주차장(구),중구 신당동 432-524,NW,노외 주차장,1,시간제 주차장,02-2231-1444,0,미연계중,22,N,무료,N,야간 미개방,0,2400,0,2400,0,2400,2022-10-18 15:30,N,무료,N,무료,140000,,0,0,0,0,0,0,0,0,0,,
1041991,불암산 공영주차장(구),노원구 중계동 26-0,NW,노외 주차장,1,시간제 주차장,,0,미연계중,39,Y,유료,N,야간 미개방,0,0,0,0,0,0,2021-01-21 17:13,Y,유료,Y,유료,100000,,150,5,150,5,0,0,0,0,,,
1042402,역삼1문화센터 공영주차장(구),강남구 역삼동 829-20,NW,노외 주차장,1,시간제 주차장,02-2176-0922,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),118,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2020-07-07 18:15,N,무료,N,무료,280000,,400,5,400,5,0,0,0,0,,,
1042405,언북초교 공영주차장(구),강남구 청담동 27-0,NW,노외 주차장,1,시간제 주차장,02-2176-0908,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),225,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2020-07-08 10:55,N,무료,N,무료,180000,,300,5,300,5,0,0,0,0,,,
1042406,삼성1문화센터 공영주차장(구),강남구 삼성동 161-2,NW,노외 주차장,1,시간제 주차장,02-2176-0910,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),70,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2020-07-07 18:19,N,무료,N,무료,280000,,400,5,400,5,0,0,0,0,,,
1042410,논현초교 공영주차장(구),강남구 논현동 168-0,NW,노외 주차장,1,시간제 주차장,02-2176-0943,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),192,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2020-07-08 11:14,N,무료,N,무료,180000,,300,5,300,5,0,0,0,0,,,
1042421,언주초 공영주차장(구),강남구 도곡동 922-0,NW,노외 주차장,1,시간제 주차장,02-2176-0929,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),191,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2020-07-08 18:22,N,무료,N,무료,120000,,200,5,200,5,0,0,0,0,,,
1051018,연광초교지하공동주차장(구),은평구 불광동 400-6,NW,노외 주차장,1,시간제 주차장,,0,미연계중,152,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-11-27 14:32,N,무료,N,무료,70000,,100,5,100,5,0,0,0,0,0,,
1051043,구파발역 공영주차장(시),은평구 진관동 70-1,NW,노외 주차장,1,시간제 주차장,02-2290-6088,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),399,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2025-08-18 16:03,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.63800702,126.9193218
1052723,살곶이(평면) 공영주차장(구),성동구 사근동 104-0,NW,노외 주차장,1,시간제 주차장,02-2204-7970,0,미연계중,102,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-28 13:31,N,무료,N,무료,,,50,5,50,5,0,0,0,0,,,
1052737,응봉역공영주차장(구),성동구 응봉동 3-11,NW,노외 주차장,1,시간제 주차장,,0,미연계중,64,N,무료,N,야간 미개방,0,0,0,0,0,0,2020-04-28 15:33,Y,유료,Y,유료,,,,,,,0,0,0,0,,,
1052741,마장축산물시장(건물) 공영주차장(구),성동구 마장동 525-1,NW,노외 주차장,1,시간제 주차장,02-2204-7970,3,120~2일이내 연계데이터 존재(통신점검중),117,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-28 13:29,N,무료,N,무료,120000,,250,5,250,5,0,0,0,0,,,
1053712,볏골공원 지하공영주차장(구),강서구 화곡동 98-99,NW,노외 주차장,1,시간제 주차장,02-2065-1575,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),231,Y,유료,N,야간 미개방,0,0,0,0,0,0,2023-07-19 18:07,Y,유료,Y,유료,60000,,1200,60,100,5,0,0,0,0,,,
1056832,한누리(구),동작구 사당동 1046-1,NW,노외 주차장,1,시간제 주차장,,0,미연계중,45,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:31,N,무료,N,무료,100000,,150,5,150,5,0,0,0,0,35000,37.47743578,126.9770784
1056834,동작주차공원(구),동작구 동작동 326-0,NW,노외 주차장,1,시간제 주차장,,0,미연계중,147,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:31,N,무료,N,무료,70000,,100,5,100,5,0,0,0,0,,,
1059009,신사동 제1공영주차장(구),관악구 신림동 511-1,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2081-2675,0,미연계중,41,Y,유료,N,야간 미개방,900,1900,900,1600,0,0,2019-06-10 9:33,N,무료,N,무료,0,,50,5,50,5,0,0,0,0,0,,
1079122,길음역환승주차장(구),성북구 하월곡동 104-112,NW,노외 주차장,1,시간제 주차장,02-6923-0023,0,미연계중,147,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:37,N,무료,N,무료,120000,,150,5,150,5,0,0,0,0,10000,,
1140909,잠원동방음언덕형공영주차장(구),서초구 잠원동 10-33,NW,노외 주차장,3,시간제 + 거주자 주차장,02-511-3015,0,미연계중,60,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-01-26 14:40,N,무료,N,무료,120000,,300,10,300,10,0,0,0,0,0,,
1140910,반포2동 공영주차장(구),서초구 반포동 5-1,NW,노외 주차장,1,시간제 주차장,02-534-2772,0,미연계중,134,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2019-06-10 9:32,N,무료,N,무료,120000,,300,10,300,10,0,0,0,0,0,,
1140911,반포서래공영주차장[서래마을 3호점](구),서초구 반포동 95-13,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),7,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-06-26 11:09,N,무료,N,무료,120000,,150,5,150,5,0,0,0,0,0,,
1140956,청계산 청룡주차장(구),서초구 신원동 224-3,NW,노외 주차장,1,시간제 주차장,,0,미연계중,41,Y,유료,N,야간 미개방,0,0,500,1900,500,1900,2019-06-10 9:35,N,무료,N,무료,0,,200,10,200,10,0,0,0,0,3000,,
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48702428,126.9328079
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48695963,126.9329544
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48891161,126.9295578
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48717617,126.9324736
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48968198,126.9256947
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48839206,126.9306914
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48800038,126.9315393
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48758782,126.9315441
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48879434,126.9298008
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.4884149,126.9306418
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48804535,126.9314412
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48962361,126.9260862
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48900089,126.9293588
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48792604,126.9307967
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48739059,126.9329491
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.4884613,126.930543
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48851031,126.9304427
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48775652,126.9311671
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48843885,126.9305924
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48794759,126.930747
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48767029,126.9313598
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48853367,126.9303904
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48806796,126.9313923
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48741271,126.9328982
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48958799,126.9263046
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48959749,126.9262478
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48811293,126.9312942
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48858099,126.9293242
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48754381,126.9316427
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.4891104,126.9291179
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48802277,126.93149
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48748023,126.9327456
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48685341,126.9331906
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48968909,126.9256334
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48848513,126.9304936
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48773442,126.9312163
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48855776,126.9303395
1163833,봉천복개3 공영주차장(시),관악구 봉천동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,900,1900,900,1500,0,0,2024-01-18 18:40,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48752181,126.931692
